"ID","SUBREG.x","MEDIA_ALTU","SUMA_DAP_X","AREA_BASAL","richness","long","lat","FECHA_UM_A","PENDIENT_1","FECHA_UM_1"
34100036,"Chaco SemiÃƒÂ¡rido","6.591666667","3.972662533","7.907493638",24,"-60.65828333","-25.01003333",2019,"sin_pendiente",2019
34101027,"Chaco SemiÃƒÂ¡rido","5.893939394","6.09676517","11.55614312",32,"-60.57501667","-24.19666667",2018,"sin_pendiente",2018
34101029,"Chaco SemiÃƒÂ¡rido","6.211111111","7.789217465","14.20447344",62,"-60.57156667","-24.37708333",2018,"sin_pendiente",2018
34101030,"Chaco SemiÃƒÂ¡rido","7.931578947","8.866586231","15.34506887",56,"-60.5698","-24.4673",2018,"sin_pendiente",2018
34101033,"Chaco SemiÃƒÂ¡rido","6.472222222","6.008358238","13.73541379",36,"-60.56465","-24.73778333",2018,"sin_pendiente",2018
34101034,"Chaco SemiÃƒÂ¡rido","6.504651163","6.363732851","10.33417109",41,"-60.56285","-24.82806667",2018,"sin_pendiente",2018
34101035,"Chaco SemiÃƒÂ¡rido","6.261403509","7.452398863","11.92528127",57,"-60.56106667","-24.91825",2018,"sin_pendiente",2018
34102025,"Chaco SemiÃƒÂ¡rido","4.705882353","7.13058019","11.5700361",50,"-60.48018333","-24.0147",2018,"sin_pendiente",2018
34102026,"Chaco SemiÃƒÂ¡rido","5.805555556","5.861126603","11.67108936",36,"-60.47845","-24.10488333",2018,"sin_pendiente",2018
34102027,"Chaco SemiÃƒÂ¡rido","6.453846154","10.98214003","16.94427815",65,"-60.47665","-24.1951",2018,"sin_pendiente",2018
34102029,"Chaco SemiÃƒÂ¡rido","6.518604651","6.779583844","10.82435592",40,"-60.47311667","-24.37545",2018,"sin_pendiente",2018
34102030,"Chaco SemiÃƒÂ¡rido","5.104166667","12.83130593","19.14949822",96,"-60.47125","-24.4658",2018,"sin_pendiente",2018
34102035,"Chaco SemiÃƒÂ¡rido","6.923404255","7.468544358","14.917863",46,"-60.4622","-24.9166",2018,"sin_pendiente",2018
34102036,"Chaco SemiÃƒÂ¡rido","6.134782609","8.94663945","15.6676776",69,"-60.46031667","-25.00678333",2018,"sin_pendiente",2018
34102037,"Chaco SemiÃƒÂ¡rido","6.752727273","7.789597413","13.41396862",55,"-60.45846667","-25.09696667",2018,"sin_pendiente",2018
34103027,"Chaco SemiÃƒÂ¡rido","5.362068966","4.941396796","9.38928087",29,"-60.37833333","-24.19335",2018,"sin_pendiente",2018
34103032,"Chaco SemiÃƒÂ¡rido","5.360655738","8.024295658","12.4115805",59,"-60.369","-24.6444",2018,"sin_pendiente",2018
34103039,"Chaco SemiÃƒÂ¡rido","7.936585366","7.412176919","14.98726864",41,"-60.35553333","-25.2756",2018,"sin_pendiente",2018
86083043,"Chaco SemiÃƒÂ¡rido","6.168421053","3.932543533","10.43403761",19,"-62.33852778","-25.65886111",2015,NA,2015
86086043,"Chaco SemiÃƒÂ¡rido","7.065217391","4.430766379","10.14876985",23,"-62.03977778","-25.65722222",2016,NA,2016
